link_seq_id,link_id,link_type,from_node_id,to_node_id,geometry,distance_km,distance_mile,fftt,meso_link_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,lanes_s0,link_type_s0,Vam_2025_auto,VAB_am_2025_auto,VBA_am_2025_auto,MEUVABam2025auto,capABam2025auto,PENABam2025auto,DOCABam2025auto,TTABam_2025_auto,MEUVBAam2025auto,capBAam2025auto,PENBAam2025auto,DOCBAam2025auto,TTBAam_2025_auto,
19,19,motorway,8,6,"LINESTRING (-96.711117 43.562327, -96.711379 43.587588)",2.000000,1.243008,2.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,12701.6,12701.6,,12701.6,4898.6,0.0,2.5929,15.560,,,,,
20,20,motorway,8,7,"LINESTRING (-96.711359 43.562060, -96.693400 43.563580)",3.000000,1.864512,3.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,12181.7,12181.7,,12181.7,7841.8,0.0,1.5534,5.620,,,,,
21,21,motorway,8,9,"LINESTRING (-96.711532 43.562542, -96.731392 43.548814)",10.000000,6.215040,10.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,6933.3,6933.3,,6933.3,5050.2,0.0,1.3729,15.329,,,,,
22,22,motorway,8,16,"LINESTRING (-96.711647 43.562324, -96.711647 43.546744)",5.000000,3.107520,5.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,8390.8,8390.8,,8390.8,5045.8,0.0,1.6629,10.735,,,,,
23,23,motorway,9,5,"LINESTRING (-96.730977 43.548602, -96.731304 43.564039)",5.000000,3.107520,5.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,15898.1,15898.1,,15898.1,10000.0,0.0,1.5898,9.791,,,,,
24,24,motorway,9,8,"LINESTRING (-96.731091 43.548379, -96.711231 43.562106)",10.000000,6.215040,10.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,6832.8,6832.8,,6832.8,5050.2,0.0,1.3530,15.026,,,,,
25,25,motorway,9,10,"LINESTRING (-96.731506 43.548612, -96.731702 43.545287)",3.000000,1.864512,3.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,21999.4,21999.4,,21999.4,13915.8,0.0,1.5809,5.811,,,,,
26,26,motorway,10,9,"LINESTRING (-96.731174 43.545255, -96.730977 43.548581)",3.000000,1.864512,3.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,22024.0,22024.0,,22024.0,13915.8,0.0,1.5827,5.823,,,,,
27,27,motorway,10,11,"LINESTRING (-96.731458 43.545535, -96.746860 43.544395)",5.000000,3.107520,5.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,17687.2,17687.2,,17687.2,10000.0,0.0,1.7687,12.340,,,,,
28,28,motorway,10,15,"LINESTRING (-96.731703 43.545272, -96.731768 43.529402)",6.000000,3.729024,6.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,23049.9,23049.9,,23049.9,13512.0,0.0,1.7059,13.621,,,,,
29,29,motorway,10,16,"LINESTRING (-96.731419 43.545007, -96.711362 43.546480)",4.000000,2.486016,4.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,11094.9,11094.9,,11094.9,4854.9,0.0,2.2853,20.365,,,,,
30,30,motorway,10,17,"LINESTRING (-96.731490 43.545011, -96.711433 43.541020)",8.000000,4.972032,8.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,8100.0,8100.0,,8100.0,4993.5,0.0,1.6221,16.308,,,,,
31,31,motorway,11,4,"LINESTRING (-96.746576 43.544135, -96.746904 43.563658)",6.000000,3.729024,6.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,5198.5,5198.5,,5198.5,4908.8,0.0,1.0590,7.132,,,,,
32,32,motorway,11,10,"LINESTRING (-96.746821 43.543867, -96.731418 43.545007)",5.000000,3.107520,5.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,17622.7,17622.7,,17622.7,10000.0,0.0,1.7623,12.233,,,,,
33,33,motorway,11,12,"LINESTRING (-96.746842 43.544395, -96.780138 43.544205)",6.000000,3.729024,6.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,8363.4,8363.4,,8363.4,4908.8,0.0,1.7037,13.583,,,,,
34,34,motorway,11,14,"LINESTRING (-96.747096 43.544203, -96.751290 43.529378)",4.000000,2.486016,4.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,9771.0,9771.0,,9771.0,4876.5,0.0,2.0037,13.671,,,,,
35,35,motorway,12,3,"LINESTRING (-96.779877 43.543888, -96.774044 43.572909)",4.000000,2.486016,4.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,10527.3,10527.3,,10527.3,23403.5,0.0,0.4498,4.025,,,,,
36,36,motorway,12,11,"LINESTRING (-96.780135 43.543676, -96.746839 43.543866)",6.000000,3.729024,6.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,8377.2,8377.2,,8377.2,4908.8,0.0,1.7066,13.634,,,,,
37,37,motorway,12,13,"LINESTRING (-96.780394 43.544005, -96.793634 43.490771)",3.000000,1.864512,3.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,13021.8,13021.8,,13021.8,25900.2,0.0,0.5028,3.029,,,,,
38,38,motorway,13,12,"LINESTRING (-96.793120 43.490643, -96.779880 43.543877)",3.000000,1.864512,3.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,13144.3,13144.3,,13144.3,25900.2,0.0,0.5075,3.030,,,,,
39,39,motorway,13,24,"LINESTRING (-96.793305 43.490452, -96.749128 43.502909)",4.000000,2.486016,4.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,11011.8,11011.8,,11011.8,5091.3,0.0,2.1629,17.131,,,,,
40,40,motorway,14,11,"LINESTRING (-96.750781 43.529234, -96.746586 43.544059)",4.000000,2.486016,4.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,9796.9,9796.9,,9796.9,4876.5,0.0,2.0090,13.774,,,,,
41,41,motorway,14,15,"LINESTRING (-96.751034 43.529041, -96.731502 43.529136)",5.000000,3.107520,5.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,8993.7,8993.7,,8993.7,5127.5,0.0,1.7540,12.099,,,,,
42,42,motorway,14,23,"LINESTRING (-96.751300 43.529304, -96.751169 43.514856)",4.000000,2.486016,4.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,8213.3,8213.3,,8213.3,4924.8,0.0,1.6677,8.642,,,,,
43,43,motorway,15,10,"LINESTRING (-96.731239 43.529400, -96.731173 43.545270)",6.000000,3.729024,6.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,23024.3,23024.3,,23024.3,13512.0,0.0,1.7040,13.588,,,,,
44,44,motorway,15,14,"LINESTRING (-96.731505 43.529666, -96.751037 43.529571)",5.000000,3.107520,5.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,9030.2,9030.2,,9030.2,5127.5,0.0,1.7611,12.215,,,,,
45,45,motorway,15,19,"LINESTRING (-96.731501 43.529136, -96.711314 43.529326)",3.000000,1.864512,3.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,19006.1,19006.1,,19006.1,14564.8,0.0,1.3049,4.305,,,,,
46,46,motorway,15,22,"LINESTRING (-96.731768 43.529396, -96.731506 43.514853)",3.000000,1.864512,3.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,18203.2,18203.2,,18203.2,9599.2,0.0,1.8963,8.819,,,,,
47,47,motorway,16,8,"LINESTRING (-96.711117 43.546744, -96.711117 43.562324)",5.000000,3.107520,5.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,8400.0,8400.0,,8400.0,5045.8,0.0,1.6647,10.760,,,,,
48,48,motorway,16,10,"LINESTRING (-96.711401 43.547008, -96.731457 43.545535)",4.000000,2.486016,4.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,11109.6,11109.6,,11109.6,4854.9,0.0,2.2883,20.452,,,,,
49,49,motorway,16,17,"LINESTRING (-96.711647 43.546744, -96.711647 43.541280)",2.000000,1.243008,2.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,11075.4,11075.4,,11075.4,5229.9,0.0,2.1177,8.034,,,,,
50,50,motorway,16,18,"LINESTRING (-96.711382 43.546479, -96.694078 43.546479)",3.000000,1.864512,3.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,16139.7,16139.7,,16139.7,19679.9,0.0,0.8201,3.204,,,,,
51,51,motorway,17,10,"LINESTRING (-96.711330 43.541540, -96.731386 43.545531)",8.000000,4.972032,8.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,8100.0,8100.0,,8100.0,4993.5,0.0,1.6221,16.308,,,,,
52,52,motorway,17,16,"LINESTRING (-96.711117 43.541280, -96.711117 43.546744)",2.000000,1.243008,2.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,11190.3,11190.3,,11190.3,5229.9,0.0,2.1397,8.288,,,,,
53,53,motorway,17,19,"LINESTRING (-96.711647 43.541279, -96.711581 43.529590)",2.000000,1.243008,2.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,9587.1,9587.1,,9587.1,4824.0,0.0,1.9874,6.680,,,,,
54,54,motorway,18,7,"LINESTRING (-96.693814 43.546733, -96.693158 43.563833)",2.000000,1.243008,2.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,15919.7,15919.7,,15919.7,23403.5,0.0,0.6802,2.064,,,,,
55,55,motorway,18,16,"LINESTRING (-96.694078 43.547008, -96.711382 43.547008)",3.000000,1.864512,3.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,16048.8,16048.8,,16048.8,19679.9,0.0,0.8155,3.199,,,,,
56,56,motorway,18,20,"LINESTRING (-96.694311 43.546870, -96.711418 43.515460)",4.000000,2.486016,4.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,19859.8,19859.8,,19859.8,23403.5,0.0,0.8486,4.311,,,,,
57,57,motorway,19,15,"LINESTRING (-96.711319 43.529856, -96.731506 43.529666)",3.000000,1.864512,3.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,18903.0,18903.0,,18903.0,14564.8,0.0,1.2979,4.277,,,,,
58,58,motorway,19,17,"LINESTRING (-96.711051 43.529593, -96.711117 43.541282)",2.000000,1.243008,2.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,9702.0,9702.0,,9702.0,4824.0,0.0,2.0112,6.908,,,,,
59,59,motorway,19,20,"LINESTRING (-96.711581 43.529589, -96.711450 43.515331)",4.000000,2.486016,4.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,8564.2,8564.2,,8564.2,5002.6,0.0,1.7120,9.154,,,,,
60,60,motorway,20,18,"LINESTRING (-96.710953 43.515207, -96.693846 43.546617)",4.000000,2.486016,4.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,19822.1,19822.1,,19822.1,23403.5,0.0,0.8470,4.309,,,,,
61,61,motorway,20,19,"LINESTRING (-96.710920 43.515336, -96.711051 43.529594)",4.000000,2.486016,4.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,8576.0,8576.0,,8576.0,5002.6,0.0,1.7143,9.182,,,,,
62,62,motorway,20,21,"LINESTRING (-96.711248 43.515591, -96.731042 43.510742)",6.000000,3.729024,6.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,6203.7,6203.7,,6203.7,5059.9,0.0,1.2260,8.034,,,,,
63,63,motorway,20,22,"LINESTRING (-96.711191 43.515598, -96.731248 43.515123)",5.000000,3.107520,5.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,7048.8,7048.8,,7048.8,5075.7,0.0,1.3887,7.790,,,,,
64,64,motorway,21,20,"LINESTRING (-96.730916 43.510228, -96.711122 43.515076)",6.000000,3.729024,6.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,6124.3,6124.3,,6124.3,5059.9,0.0,1.2104,7.932,,,,,
65,65,motorway,21,22,"LINESTRING (-96.730715 43.510501, -96.730977 43.514874)",2.000000,1.243008,2.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,8503.5,8503.5,,8503.5,5229.9,0.0,1.6259,4.097,,,,,
66,66,motorway,21,24,"LINESTRING (-96.731078 43.510731, -96.749299 43.503410)",3.000000,1.864512,3.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,10226.2,10226.2,,10226.2,4885.4,0.0,2.0932,11.640,,,,,
67,67,motorway,22,15,"LINESTRING (-96.730977 43.514863, -96.731239 43.529406)",3.000000,1.864512,3.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,18217.3,18217.3,,18217.3,9599.2,0.0,1.8978,8.837,,,,,
68,68,motorway,22,20,"LINESTRING (-96.731235 43.514593, -96.711179 43.515069)",5.000000,3.107520,5.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,7002.3,7002.3,,7002.3,5075.7,0.0,1.3796,7.717,,,,,
69,69,motorway,22,21,"LINESTRING (-96.731506 43.514842, -96.731244 43.510469)",2.000000,1.243008,2.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,8489.7,8489.7,,8489.7,5229.9,0.0,1.6233,4.083,,,,,
70,70,motorway,22,23,"LINESTRING (-96.731241 43.515123, -96.750904 43.515123)",4.000000,2.486016,4.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,9556.7,9556.7,,9556.7,5000.0,0.0,1.9113,12.008,,,,,
71,71,motorway,23,14,"LINESTRING (-96.750640 43.514861, -96.750771 43.529309)",4.000000,2.486016,4.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,8202.7,8202.7,,8202.7,4924.8,0.0,1.6656,8.618,,,,,
72,72,motorway,23,22,"LINESTRING (-96.750904 43.514593, -96.731241 43.514593)",4.000000,2.486016,4.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,9510.4,9510.4,,9510.4,5000.0,0.0,1.9021,11.854,,,,,
73,73,motorway,23,24,"LINESTRING (-96.751166 43.514820, -96.749462 43.503126)",2.000000,1.243008,2.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,7846.5,7846.5,,7846.5,5078.5,0.0,1.5450,3.710,,,,,
74,74,motorway,24,13,"LINESTRING (-96.749272 43.503419, -96.793448 43.490962)",4.000000,2.486016,4.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,11034.3,11034.3,,11034.3,5091.3,0.0,2.1673,17.238,,,,,
75,75,motorway,24,21,"LINESTRING (-96.749102 43.502919, -96.730880 43.510239)",3.000000,1.864512,3.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,10160.6,10160.6,,10160.6,4885.4,0.0,2.0798,11.420,,,,,
76,76,motorway,24,23,"LINESTRING (-96.748938 43.503202, -96.750642 43.514896)",2.000000,1.243008,2.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,7789.6,7789.6,,7789.6,5078.5,0.0,1.5338,3.661,,,,,
