link_seq_id,link_id,base_s0_link_type,from_node_id,to_node_id,geometry,distance_km,distance_mile,fftt,free_speed_base_mode,link_specific_speed_diff,capacity_base_mode,link_specific_capacity_diff,meso_link_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,lanes_s0,link_type_s0,free_speed_s0,capacity_s0,lanes_p1_s0_auto,VOL_p1_s0_auto,MEU_p1_s0_auto,CAP_p1_s0_auto,PEN_p1_s0_auto,DOC_p1_s0_auto,TT_p1_s0_auto,CO2_p1_s0_auto,NOX_p1_s0_auto,VOL_am_2025_auto,MEU_am_2025_auto,CAP_am_2025_auto,PEN_am_2025_auto,DOC_am_2025_auto,TT_am_2025_auto,CO2_am_2025_auto,NOX_am_2025_auto,
11,11,motorway,5,4,"LINESTRING (-96.731576 43.564298, -96.747175 43.563918)",2.000000,1.243008,2.000000,60.000000,0.000000,17782.794100,15782.794100,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,17782.8,1.0,18661.4,18661.4,17782.8,0.0,1.0494,2.4,12803.9,3.1,18661.4,18661.4,17782.794,0.000,1.0494,2.364,12803.933,3.139,
12,12,motorway,5,6,"LINESTRING (-96.731367 43.563863, -96.711442 43.587414)",4.000000,2.486016,4.000000,60.000000,0.000000,4947.995469,2947.995469,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,4948.0,1.0,8604.7,8604.7,4948.0,0.0,1.7390,9.5,15011.7,2.6,8604.7,8604.7,4947.995,0.000,1.7390,9.488,15011.684,2.612,
13,13,motorway,5,9,"LINESTRING (-96.731834 43.564028, -96.731506 43.548591)",5.000000,3.107520,5.000000,60.000000,0.000000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,10000.0,1.0,15872.9,15872.9,10000.0,0.0,1.5873,9.8,31369.3,6.0,15872.9,15872.9,10000.000,0.000,1.5873,9.761,31369.272,6.001,
14,14,motorway,6,2,"LINESTRING (-96.711379 43.587580, -96.710986 43.605807)",5.000000,3.107520,5.000000,60.000000,0.000000,4958.180928,2958.180928,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,4958.2,1.0,5832.7,5832.7,4958.2,0.0,1.1764,6.4,10096.7,2.4,5832.7,5832.7,4958.181,0.000,1.1764,6.436,10096.680,2.373,
15,15,motorway,6,5,"LINESTRING (-96.711846 43.587757, -96.731771 43.564205)",4.000000,2.486016,4.000000,60.000000,0.000000,4947.995469,2947.995469,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,4948.0,1.0,8633.1,8633.1,4948.0,0.0,1.7448,9.6,15125.4,2.6,8633.1,8633.1,4947.995,0.000,1.7448,9.560,15125.370,2.622,
16,16,motorway,6,8,"LINESTRING (-96.711909 43.587583, -96.711647 43.562321)",2.000000,1.243008,2.000000,60.000000,0.000000,4898.587646,2898.587646,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,4898.6,1.0,12639.7,12639.7,4898.6,0.0,2.5803,15.3,26155.8,2.8,12639.7,12639.7,4898.588,0.000,2.5803,15.298,26155.826,2.846,
17,17,motorway,7,8,"LINESTRING (-96.693445 43.564107, -96.711404 43.562588)",3.000000,1.864512,3.000000,60.000000,0.000000,7841.811310,5841.811310,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,7841.8,1.0,12334.9,12334.9,7841.8,0.0,1.5730,5.8,14511.4,2.8,12334.9,12334.9,7841.811,0.000,1.5730,5.755,14511.363,2.800,
18,18,motorway,7,18,"LINESTRING (-96.693687 43.563854, -96.694343 43.546754)",2.000000,1.243008,2.000000,60.000000,0.000000,23403.473190,21403.473190,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,23403.5,1.0,15766.5,15766.5,23403.5,0.0,0.6737,2.1,10867.8,2.9,15766.5,15766.5,23403.473,0.000,0.6737,2.062,10867.817,2.850,
19,19,motorway,8,6,"LINESTRING (-96.711117 43.562327, -96.711379 43.587588)",2.000000,1.243008,2.000000,60.000000,0.000000,4898.587646,2898.587646,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,4898.6,1.0,12701.6,12701.6,4898.6,0.0,2.5929,15.6,26672.8,2.9,12701.6,12701.6,4898.588,0.000,2.5929,15.560,26672.843,2.887,
20,20,motorway,8,7,"LINESTRING (-96.711359 43.562060, -96.693400 43.563580)",3.000000,1.864512,3.000000,60.000000,0.000000,7841.811310,5841.811310,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,7841.8,1.0,12181.7,12181.7,7841.8,0.0,1.5534,5.6,14183.4,2.8,12181.7,12181.7,7841.811,0.000,1.5534,5.620,14183.361,2.769,
21,21,motorway,8,9,"LINESTRING (-96.711532 43.562542, -96.731392 43.548814)",10.000000,6.215040,10.000000,60.000000,0.000000,5050.193156,3050.193156,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,5050.2,1.0,6933.3,6933.3,5050.2,0.0,1.3729,15.3,24987.4,5.4,6933.3,6933.3,5050.193,0.000,1.3729,15.329,24987.436,5.387,
22,22,motorway,8,16,"LINESTRING (-96.711647 43.562324, -96.711647 43.546744)",5.000000,3.107520,5.000000,60.000000,0.000000,5045.822583,3045.822583,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,5045.8,1.0,8390.8,8390.8,5045.8,0.0,1.6629,10.7,17358.3,3.2,8390.8,8390.8,5045.823,0.000,1.6629,10.735,17358.324,3.169,
23,23,motorway,9,5,"LINESTRING (-96.730977 43.548602, -96.731304 43.564039)",5.000000,3.107520,5.000000,60.000000,0.000000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,10000.0,1.0,15898.1,15898.1,10000.0,0.0,1.5898,9.8,31463.6,6.0,15898.1,15898.1,10000.000,0.000,1.5898,9.791,31463.642,6.010,
24,24,motorway,9,8,"LINESTRING (-96.731091 43.548379, -96.711231 43.562106)",10.000000,6.215040,10.000000,60.000000,0.000000,5050.193156,3050.193156,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,5050.2,1.0,6832.8,6832.8,5050.2,0.0,1.3530,15.0,24481.4,5.3,6832.8,6832.8,5050.193,0.000,1.3530,15.026,24481.404,5.331,
25,25,motorway,9,10,"LINESTRING (-96.731506 43.548612, -96.731702 43.545287)",3.000000,1.864512,3.000000,60.000000,0.000000,13915.788420,11915.788420,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,13915.8,1.0,21999.4,21999.4,13915.8,0.0,1.5809,5.8,25993.5,5.0,21999.4,21999.4,13915.788,0.000,1.5809,5.811,25993.470,4.992,
26,26,motorway,10,9,"LINESTRING (-96.731174 43.545255, -96.730977 43.548581)",3.000000,1.864512,3.000000,60.000000,0.000000,13915.788420,11915.788420,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,13915.8,1.0,22024.0,22024.0,13915.8,0.0,1.5827,5.8,26048.1,5.0,22024.0,22024.0,13915.788,0.000,1.5827,5.823,26048.120,4.997,
27,27,motorway,10,11,"LINESTRING (-96.731458 43.545535, -96.746860 43.544395)",5.000000,3.107520,5.000000,60.000000,0.000000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,10000.0,1.0,17687.2,17687.2,10000.0,0.0,1.7687,12.3,39441.1,6.7,17687.2,17687.2,10000.000,0.000,1.7687,12.340,39441.093,6.732,
28,28,motorway,10,15,"LINESTRING (-96.731703 43.545272, -96.731768 43.529402)",6.000000,3.729024,6.000000,60.000000,0.000000,13512.001550,11512.001550,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,13512.0,1.0,23049.9,23049.9,13512.0,0.0,1.7059,13.6,58902.5,10.5,23049.9,23049.9,13512.002,0.000,1.7059,13.621,58902.528,10.467,
29,29,motorway,10,16,"LINESTRING (-96.731419 43.545007, -96.711362 43.546480)",4.000000,2.486016,4.000000,60.000000,0.000000,4854.917717,2854.917717,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,4854.9,1.0,11094.9,11094.9,4854.9,0.0,2.2853,20.4,32740.8,4.1,11094.9,11094.9,4854.918,0.000,2.2853,20.365,32740.819,4.087,
30,30,motorway,10,17,"LINESTRING (-96.731490 43.545011, -96.711433 43.541020)",8.000000,4.972032,8.000000,60.000000,0.000000,4993.510694,2993.510694,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,4993.5,1.0,8100.0,8100.0,4993.5,0.0,1.6221,16.3,26135.4,4.9,8100.0,8100.0,4993.511,0.000,1.6221,16.308,26135.404,4.894,
31,31,motorway,11,4,"LINESTRING (-96.746576 43.544135, -96.746904 43.563658)",6.000000,3.729024,6.000000,60.000000,0.000000,4908.826730,2908.826730,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,4908.8,1.0,5198.5,5198.5,4908.8,0.0,1.0590,7.1,10704.1,2.6,5198.5,5198.5,4908.827,0.000,1.0590,7.132,10704.121,2.617,
32,32,motorway,11,10,"LINESTRING (-96.746821 43.543867, -96.731418 43.545007)",5.000000,3.107520,5.000000,60.000000,0.000000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,10000.0,1.0,17622.7,17622.7,10000.0,0.0,1.7623,12.2,39103.9,6.7,17622.7,17622.7,10000.000,0.000,1.7623,12.233,39103.887,6.703,
33,33,motorway,11,12,"LINESTRING (-96.746842 43.544395, -96.780138 43.544205)",6.000000,3.729024,6.000000,60.000000,0.000000,4908.826730,2908.826730,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,4908.8,1.0,8363.4,8363.4,4908.8,0.0,1.7037,13.6,21340.3,3.8,8363.4,8363.4,4908.827,0.000,1.7037,13.583,21340.284,3.797,
34,34,motorway,11,14,"LINESTRING (-96.747096 43.544203, -96.751290 43.529378)",4.000000,2.486016,4.000000,60.000000,0.000000,4876.508287,2876.508287,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,4876.5,1.0,9771.0,9771.0,4876.5,0.0,2.0037,13.7,21423.7,3.1,9771.0,9771.0,4876.508,0.000,2.0037,13.671,21423.733,3.148,
35,35,motorway,12,3,"LINESTRING (-96.779877 43.543888, -96.774044 43.572909)",4.000000,2.486016,4.000000,60.000000,0.000000,23403.473190,21403.473190,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,23403.5,1.0,10527.3,10527.3,23403.5,0.0,0.4498,4.0,14570.8,3.9,10527.3,10527.3,23403.473,0.000,0.4498,4.025,14570.802,3.868,
36,36,motorway,12,11,"LINESTRING (-96.780135 43.543676, -96.746839 43.543866)",6.000000,3.729024,6.000000,60.000000,0.000000,4908.826730,2908.826730,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,4908.8,1.0,8377.2,8377.2,4908.8,0.0,1.7066,13.6,21417.7,3.8,8377.2,8377.2,4908.827,0.000,1.7066,13.634,21417.701,3.804,
37,37,motorway,12,13,"LINESTRING (-96.780394 43.544005, -96.793634 43.490771)",3.000000,1.864512,3.000000,60.000000,0.000000,25900.200640,23900.200640,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,25900.2,1.0,13021.8,13021.8,25900.2,0.0,0.5028,3.0,13509.1,3.6,13021.8,13021.8,25900.201,0.000,0.5028,3.029,13509.059,3.580,
38,38,motorway,13,12,"LINESTRING (-96.793120 43.490643, -96.779880 43.543877)",3.000000,1.864512,3.000000,60.000000,0.000000,25900.200640,23900.200640,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,25900.2,1.0,13144.3,13144.3,25900.2,0.0,0.5075,3.0,13635.3,3.6,13144.3,13144.3,25900.201,0.000,0.5075,3.030,13635.259,3.613,
39,39,motorway,13,24,"LINESTRING (-96.793305 43.490452, -96.749128 43.502909)",4.000000,2.486016,4.000000,60.000000,0.000000,5091.256152,3091.256152,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,5091.3,1.0,11011.8,11011.8,5091.3,0.0,2.1629,17.1,28423.6,3.8,11011.8,11011.8,5091.256,0.000,2.1629,17.131,28423.614,3.796,
40,40,motorway,14,11,"LINESTRING (-96.750781 43.529234, -96.746586 43.544059)",4.000000,2.486016,4.000000,60.000000,0.000000,4876.508287,2876.508287,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,4876.5,1.0,9796.9,9796.9,4876.5,0.0,2.0090,13.8,21592.0,3.2,9796.9,9796.9,4876.508,0.000,2.0090,13.774,21591.998,3.162,
41,41,motorway,14,15,"LINESTRING (-96.751034 43.529041, -96.731502 43.529136)",5.000000,3.107520,5.000000,60.000000,0.000000,5127.526119,3127.526119,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,5127.5,1.0,8993.7,8993.7,5127.5,0.0,1.7540,12.1,19832.4,3.4,8993.7,8993.7,5127.526,0.000,1.7540,12.099,19832.394,3.417,
42,42,motorway,14,23,"LINESTRING (-96.751300 43.529304, -96.751169 43.514856)",4.000000,2.486016,4.000000,60.000000,0.000000,4924.790605,2924.790605,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,4924.8,1.0,8213.3,8213.3,4924.8,0.0,1.6677,8.6,13636.0,2.5,8213.3,8213.3,4924.791,0.000,1.6677,8.642,13635.951,2.482,
43,43,motorway,15,10,"LINESTRING (-96.731239 43.529400, -96.731173 43.545270)",6.000000,3.729024,6.000000,60.000000,0.000000,13512.001550,11512.001550,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,13512.0,1.0,23024.3,23024.3,13512.0,0.0,1.7040,13.6,58759.8,10.5,23024.3,23024.3,13512.002,0.000,1.7040,13.588,58759.843,10.454,
44,44,motorway,15,14,"LINESTRING (-96.731505 43.529666, -96.751037 43.529571)",5.000000,3.107520,5.000000,60.000000,0.000000,5127.526119,3127.526119,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,5127.5,1.0,9030.2,9030.2,5127.5,0.0,1.7611,12.2,20020.1,3.4,9030.2,9030.2,5127.526,0.000,1.7611,12.215,20020.103,3.434,
45,45,motorway,15,19,"LINESTRING (-96.731501 43.529136, -96.711314 43.529326)",3.000000,1.864512,3.000000,60.000000,0.000000,14564.753150,12564.753150,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,14564.8,1.0,19006.1,19006.1,14564.8,0.0,1.3049,4.3,20178.8,4.5,19006.1,19006.1,14564.753,0.000,1.3049,4.305,20178.786,4.495,
46,46,motorway,15,22,"LINESTRING (-96.731768 43.529396, -96.731506 43.514853)",3.000000,1.864512,3.000000,60.000000,0.000000,9599.180565,7599.180565,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,9599.2,1.0,18203.2,18203.2,9599.2,0.0,1.8963,8.8,27077.7,4.3,18203.2,18203.2,9599.181,0.000,1.8963,8.819,27077.696,4.258,
47,47,motorway,16,8,"LINESTRING (-96.711117 43.546744, -96.711117 43.562324)",5.000000,3.107520,5.000000,60.000000,0.000000,5045.822583,3045.822583,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,5045.8,1.0,8400.0,8400.0,5045.8,0.0,1.6647,10.8,17398.0,3.2,8400.0,8400.0,5045.823,0.000,1.6647,10.760,17397.982,3.173,
48,48,motorway,16,10,"LINESTRING (-96.711401 43.547008, -96.731457 43.545535)",4.000000,2.486016,4.000000,60.000000,0.000000,4854.917717,2854.917717,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,4854.9,1.0,11109.6,11109.6,4854.9,0.0,2.2883,20.5,32895.8,4.1,11109.6,11109.6,4854.918,0.000,2.2883,20.452,32895.764,4.100,
49,49,motorway,16,17,"LINESTRING (-96.711647 43.546744, -96.711647 43.541280)",2.000000,1.243008,2.000000,60.000000,0.000000,5229.910063,3229.910063,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,5229.9,1.0,11075.4,11075.4,5229.9,0.0,2.1177,8.0,13627.2,1.9,11075.4,11075.4,5229.910,0.000,2.1177,8.034,13627.205,1.868,
50,50,motorway,16,18,"LINESTRING (-96.711382 43.546479, -96.694078 43.546479)",3.000000,1.864512,3.000000,60.000000,0.000000,19679.896710,17679.896710,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,19679.9,1.0,16139.7,16139.7,19679.9,0.0,0.8201,3.2,16622.9,4.3,16139.7,16139.7,19679.897,0.000,0.8201,3.204,16622.945,4.284,
51,51,motorway,17,10,"LINESTRING (-96.711330 43.541540, -96.731386 43.545531)",8.000000,4.972032,8.000000,60.000000,0.000000,4993.510694,2993.510694,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,4993.5,1.0,8100.0,8100.0,4993.5,0.0,1.6221,16.3,26135.4,4.9,8100.0,8100.0,4993.511,0.000,1.6221,16.308,26135.404,4.894,
52,52,motorway,17,16,"LINESTRING (-96.711117 43.541280, -96.711117 43.546744)",2.000000,1.243008,2.000000,60.000000,0.000000,5229.910063,3229.910063,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,5229.9,1.0,11190.3,11190.3,5229.9,0.0,2.1397,8.3,14090.2,1.9,11190.3,11190.3,5229.910,0.000,2.1397,8.288,14090.172,1.907,
53,53,motorway,17,19,"LINESTRING (-96.711647 43.541279, -96.711581 43.529590)",2.000000,1.243008,2.000000,60.000000,0.000000,4823.950831,2823.950831,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,4824.0,1.0,9587.1,9587.1,4824.0,0.0,1.9874,6.7,10345.6,1.5,9587.1,9587.1,4823.951,0.000,1.9874,6.680,10345.593,1.535,
54,54,motorway,18,7,"LINESTRING (-96.693814 43.546733, -96.693158 43.563833)",2.000000,1.243008,2.000000,60.000000,0.000000,23403.473190,21403.473190,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,23403.5,1.0,15919.7,15919.7,23403.5,0.0,0.6802,2.1,10971.6,2.9,15919.7,15919.7,23403.473,0.000,0.6802,2.064,10971.612,2.876,
55,55,motorway,18,16,"LINESTRING (-96.694078 43.547008, -96.711382 43.547008)",3.000000,1.864512,3.000000,60.000000,0.000000,19679.896710,17679.896710,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,19679.9,1.0,16048.8,16048.8,19679.9,0.0,0.8155,3.2,16531.2,4.3,16048.8,16048.8,19679.897,0.000,0.8155,3.199,16531.249,4.264,
56,56,motorway,18,20,"LINESTRING (-96.694311 43.546870, -96.711418 43.515460)",4.000000,2.486016,4.000000,60.000000,0.000000,23403.473190,21403.473190,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,23403.5,1.0,19859.8,19859.8,23403.5,0.0,0.8486,4.3,27254.1,7.0,19859.8,19859.8,23403.473,0.000,0.8486,4.311,27254.122,6.992,
57,57,motorway,19,15,"LINESTRING (-96.711319 43.529856, -96.731506 43.529666)",3.000000,1.864512,3.000000,60.000000,0.000000,14564.753150,12564.753150,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,14564.8,1.0,18903.0,18903.0,14564.8,0.0,1.2979,4.3,20036.9,4.5,18903.0,18903.0,14564.753,0.000,1.2979,4.277,20036.909,4.478,
58,58,motorway,19,17,"LINESTRING (-96.711051 43.529593, -96.711117 43.541282)",2.000000,1.243008,2.000000,60.000000,0.000000,4823.950831,2823.950831,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,4824.0,1.0,9702.0,9702.0,4824.0,0.0,2.0112,6.9,10714.6,1.6,9702.0,9702.0,4823.951,0.000,2.0112,6.908,10714.626,1.567,
59,59,motorway,19,20,"LINESTRING (-96.711581 43.529589, -96.711450 43.515331)",4.000000,2.486016,4.000000,60.000000,0.000000,5002.607563,3002.607563,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,5002.6,1.0,8564.2,8564.2,5002.6,0.0,1.7120,9.2,14652.5,2.6,8564.2,8564.2,5002.608,0.000,1.7120,9.154,14652.525,2.594,
60,60,motorway,20,18,"LINESTRING (-96.710953 43.515207, -96.693846 43.546617)",4.000000,2.486016,4.000000,60.000000,0.000000,23403.473190,21403.473190,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,23403.5,1.0,19822.1,19822.1,23403.5,0.0,0.8470,4.3,27203.4,7.0,19822.1,19822.1,23403.473,0.000,0.8470,4.309,27203.389,6.981,
61,61,motorway,20,19,"LINESTRING (-96.710920 43.515336, -96.711051 43.529594)",4.000000,2.486016,4.000000,60.000000,0.000000,5002.607563,3002.607563,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,5002.6,1.0,8576.0,8576.0,5002.6,0.0,1.7143,9.2,14696.9,2.6,8576.0,8576.0,5002.608,0.000,1.7143,9.182,14696.930,2.598,
62,62,motorway,20,21,"LINESTRING (-96.711248 43.515591, -96.731042 43.510742)",6.000000,3.729024,6.000000,60.000000,0.000000,5059.912340,3059.912340,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,5059.9,1.0,6203.7,6203.7,5059.9,0.0,1.2260,8.0,12973.6,3.0,6203.7,6203.7,5059.912,0.000,1.2260,8.034,12973.599,2.991,
63,63,motorway,20,22,"LINESTRING (-96.711191 43.515598, -96.731248 43.515123)",5.000000,3.107520,5.000000,60.000000,0.000000,5075.697193,3075.697193,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,5075.7,1.0,7048.8,7048.8,5075.7,0.0,1.3887,7.8,12765.2,2.7,7048.8,7048.8,5075.697,0.000,1.3887,7.790,12765.240,2.730,
64,64,motorway,21,20,"LINESTRING (-96.730916 43.510228, -96.711122 43.515076)",6.000000,3.729024,6.000000,60.000000,0.000000,5059.912340,3059.912340,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,5059.9,1.0,6124.3,6124.3,5059.9,0.0,1.2104,7.9,12777.6,3.0,6124.3,6124.3,5059.912,0.000,1.2104,7.932,12777.594,2.964,
65,65,motorway,21,22,"LINESTRING (-96.730715 43.510501, -96.730977 43.514874)",2.000000,1.243008,2.000000,60.000000,0.000000,5229.910063,3229.910063,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,5229.9,1.0,8503.5,8503.5,5229.9,0.0,1.6259,4.1,6875.1,1.3,8503.5,8503.5,5229.910,0.000,1.6259,4.097,6875.146,1.285,
66,66,motorway,21,24,"LINESTRING (-96.731078 43.510731, -96.749299 43.503410)",3.000000,1.864512,3.000000,60.000000,0.000000,4885.357564,2885.357564,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,4885.4,1.0,10226.2,10226.2,4885.4,0.0,2.0932,11.6,18399.6,2.6,10226.2,10226.2,4885.358,0.000,2.0932,11.640,18399.607,2.559,
67,67,motorway,22,15,"LINESTRING (-96.730977 43.514863, -96.731239 43.529406)",3.000000,1.864512,3.000000,60.000000,0.000000,9599.180565,7599.180565,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,9599.2,1.0,18217.3,18217.3,9599.2,0.0,1.8978,8.8,27134.1,4.3,18217.3,18217.3,9599.181,0.000,1.8978,8.837,27134.051,4.262,
